product_category,product_name,product_description
Sale,Javert Side Chair - Cane,"Set in the grandeur of simplicity, the Javert Side Chair - Cane will encapsulate you in an aura of refined sophistication. Subtle yet elegant, the geometric, modern silhouette and sumptuous, sustainable materials of the Javert collection represent a timeless balance."
Sale,Augustus Desk,"A fresh and avant-garde take on office furniture, the Augustus Desk elevates any space. The subtle brass metal detailing enhances the luxurious marble base. While the smooth top available in walnut, matte black or white lacquer adds a touch of modern utility. Combine with the Augustus Storage Unit for the ultimate office space."
Sale,Round Barstool,"A Danish classic, the Round Bar Stool - Upholstered is quintessential for any modern home. Originally designed in 1949, this premium reproduction is revered for its iconic design and meticulous details. The smooth curved back and premium upholstered seat merge to create an elegant, lightweight ambiance in any space."
Sale,Mia Lounge Chair,"Discover a sense of sophisticated luxury with the sculptural shape of the Mia Lounge Chair. A fresh take on the traditional lounge chair, the softly upholstered curves, and the intricate details of Mia creates a grandiose feel of modern elegance in any space."
Sale,Aubrey Counter Stool,"The classic Aubrey Counter Stool is inspired by the ever-popular Aubrey Armchair and Side Chair, bringing the same level of elegance to the modern home. Offering the best of sophisticated Italian design, the stool is generously upholstered for a natural and relaxed hold. The curved deep seat, and integrated foot pedal provide function in a stylish approach. Its modern appeal allows it to be luxuriously at home in all kitchen and dining spaces. Made with vegan leather and solid wood in a walnut finish, the Aubrey Counter Stool is sustainable and designed to last."
Sale,Arya Sleeper Sectional,"Recline into a unity of contemporary design and minimalist values with the Arya Sleeper Sectional. A plush back and seat elegantly curves inwards, brimming with layers of high-density cushioning. Uncluttered and endlessly inviting, this piece offers a deep seat and angled back to take advantage of a clean design and tempting cushions. Featuring a sumptuous memory foam mattress topper, the Arya embodies the fundamental elements of modern design while providing undeniable comfort to any space."
Sale,Louis Outdoor Armchair,"Dressed in structured lines and a durable black powder coated frame, the Louis Outdoor Armchair embodies relaxed, coastal-inspired expressions. Designed with comfort and durability in mind, the Louis collection features fast dry foam cushions in cool toned UV resistant fabric and teak wood accents; perfect for turning any outdoor space into a modern sanctuary."
Sale,Porter Sofa,"The Porter Sofa is a simple structured sofa with boxy flare and a low-set profile. Square arm rests are made like a side table, while an elevated back rest provides ample lean-back support. High-density foam cushioning is nicely rounded and perfectly firm. Detailed pipe stitching around the edges finishes the modern design, perfect for any and every living space."
Sale,Elaine Dining Table,"Pull up a seat and enjoy the  Elaine Dining Table. The polished stone top showcases the unique markings of the luxurious surface, while slim legs accentuate its clean profile. Designed for everyday use, Elaine is perfect for any modern space."
Sale,Boden Open End Sofa,"Fall back into the luxurious comfort of the Boden Modular Collection. Distinguished by the minimal silhouette, plush cushioning, and hovering expression, the Boden will transport you to an atmosphere of refined elegance. Enjoy our preset configuration or customize your own design by purchasing pieces separately."
